step,train_with_grad_loss,train_without_grad_loss,train_masked_accuracy,validation_loss,validation_masked_accuracy,test_loss,test_masked_accuracy
750,1.15703125,1.1265625,0.47051933456795986,1.20234375,0.4237119321906427,1.1765625,0.4413096393562583
760,1.1671875,1.1234375,0.4721655032685946,1.1984375,0.42664911808198713,1.1734375,0.4443433763409168
770,1.16328125,1.12265625,0.47236599817444114,1.19921875,0.4267050160833795,1.1734375,0.4441197843353474
780,1.16328125,1.12265625,0.4739435765125494,1.1984375,0.42877832377138736,1.1703125,0.44511578508742955
790,1.153125,1.12109375,0.4724873503542956,1.1984375,0.4265119138967513,1.171875,0.4436573554147378
800,1.14921875,1.12109375,0.474196833235724,1.1984375,0.42715728173100864,1.17109375,0.4452580709091556
810,1.17734375,1.12265625,0.47409658578280073,1.19921875,0.4277619964733443,1.17265625,0.4458373774690401
820,1.14921875,1.11875,0.47478248940806517,1.196875,0.4289968341404666,1.16875,0.4457713161946673
830,1.15625,1.1203125,0.4756794403026418,1.19765625,0.42847342558197443,1.17109375,0.44521233618074363
840,1.171875,1.12265625,0.4740860334193351,1.196875,0.4282701601223658,1.17109375,0.44620325529633564
850,1.1609375,1.11953125,0.47548422157852804,1.196875,0.4294033650596838,1.16953125,0.4455426425526076
860,1.15546875,1.11640625,0.4771831520964908,1.19609375,0.42994201852764663,1.16875,0.44670633730886694
870,1.15546875,1.115625,0.4767030195588057,1.19609375,0.42991152870870536,1.16875,0.44667076585343546
880,1.129296875,1.11796875,0.47467168959167627,1.1984375,0.42712679191206737,1.171875,0.44362178395930624
890,1.133203125,1.11953125,0.47404910014720547,1.2,0.4258309746070625,1.1734375,0.44182288464177005
900,1.15703125,1.11328125,0.4771145617339644,1.19609375,0.4286614461321124,1.16953125,0.4460508062016292
910,1.1328125,1.11328125,0.4780062364468082,1.19453125,0.4304247739942171,1.16796875,0.44769725642445896
920,1.16875,1.11484375,0.47666081010494327,1.1953125,0.42880881359032863,1.16875,0.4456646018283728
930,1.12734375,1.11484375,0.47690351446465223,1.1953125,0.42984038579784234,1.16796875,0.447321215324183
940,1.137109375,1.11484375,0.47771077026977116,1.19453125,0.4289663443215253,1.16796875,0.44556805073505873
950,1.152734375,1.11328125,0.4784177786219669,1.19296875,0.4305518149064725,1.1671875,0.44785986879214584
960,1.16328125,1.11484375,0.478064274445869,1.19296875,0.4312276725596711,1.16640625,0.4482206649829511
970,1.1546875,1.11328125,0.47886625406925515,1.19296875,0.4310803051014549,1.1671875,0.44842393044255974
980,1.16328125,1.1125,0.4795046720589244,1.19375,0.4297285897950576,1.16796875,0.4474177664174971
990,1.16484375,1.11171875,0.479541605331054,1.19375,0.43075508036608107,1.1671875,0.4482308282559315
1000,1.14453125,1.1125,0.47783739863135843,1.19296875,0.43077032527555176,1.1671875,0.44872882863197266
